zone_id,timestamp,date,hour,market_demand_mw,ontario_demand_mw,year_source,day_of_week,month,is_weekend,is_peak_window,demand_lag_1h_mw,demand_lag_24h_mw,demand_lag_168h_mw,demand_ramp_1h_mw,demand_ramp_3h_mw,rolling_demand_mean_3h,rolling_demand_max_24h,forecast_market_demand_next_1h_mw,forecast_market_demand_next_3h_mw,scheduled_operating_reserve_mw,reserve_margin_ratio,total_generation_output_mw,total_generation_capability_mw,temperature_c,humidity,ward_load_share,available_flex_mw,local_vulnerability_score
ward_19,2024-01-01 16:00:00,2024-01-01,17,19466,17147,2024,0,1,0,1,17147.0,17147.0,17147.0,0.0,0.0,17147.0,17147.0,20424.0,19466.0,2600.0,0.1516300227445034,17489.94,21547.0,15.0,55.0,0.04891815616180621,120,0.88
ward_20,2024-01-01 16:00:00,2024-01-01,17,19466,17147,2024,0,1,0,1,17147.0,17147.0,17147.0,0.0,0.0,17147.0,17147.0,20424.0,19466.0,2600.0,0.1516300227445034,17489.94,21547.0,15.0,55.0,0.04985888993414864,125,0.9
ward_21,2024-01-01 16:00:00,2024-01-01,17,19466,17147,2024,0,1,0,1,17147.0,17147.0,17147.0,0.0,0.0,17147.0,17147.0,20424.0,19466.0,2600.0,0.1516300227445034,17489.94,21547.0,15.0,55.0,0.036688617121354655,65,0.63
ward_06,2024-01-01 17:00:00,2024-01-01,18,20424,17805,2024,0,1,0,1,17147.0,17147.0,17147.0,658.0,658.0,17476.0,17805.0,20424.0,20424.0,2583.55,0.14510249929795002,18161.1,22188.55,15.0,55.0,0.04045155221072436,85,0.72
ward_07,2024-01-01 17:00:00,2024-01-01,18,20424,17805,2024,0,1,0,1,17147.0,17147.0,17147.0,658.0,658.0,17476.0,17805.0,20424.0,20424.0,2583.55,0.14510249929795002,18161.1,22188.55,15.0,55.0,0.04139228598306679,90,0.74
ward_08,2024-01-01 17:00:00,2024-01-01,18,20424,17805,2024,0,1,0,1,17147.0,17147.0,17147.0,658.0,658.0,17476.0,17805.0,20424.0,20424.0,2583.55,0.14510249929795002,18161.1,22188.55,15.0,55.0,0.039510818438381945,80,0.69
